FID;osm_id;name
france_hiking_foot_routes_line.9607873;9607873;Circuit de la Forêt des Dames
france_hiking_foot_routes_line.9607872;9607872;Circuit des Sites Gallo-Romains
france_hiking_foot_routes_line.9607796;9607796;
france_hiking_foot_routes_line.9607795;9607795;
france_hiking_foot_routes_line.9607794;9607794;
france_hiking_foot_routes_line.9603464;9603464;Sentier du Pont aux Aniers
france_hiking_foot_routes_line.9602901;9602901;Circuit bleu de St. Eugéne
france_hiking_foot_routes_line.9601679;9601679;
france_hiking_foot_routes_line.9601676;9601676;Chemin des Fontaines
france_hiking_foot_routes_line.9601667;9601667;Circulaire du Schiertorfelsen
france_hiking_foot_routes_line.9601529;9601529;
france_hiking_foot_routes_line.9601506;9601506;
france_hiking_foot_routes_line.9601470;9601470;
france_hiking_foot_routes_line.9601356;9601356;
france_hiking_foot_routes_line.9601353;9601353;
france_hiking_foot_routes_line.9601339;9601339;
france_hiking_foot_routes_line.9601332;9601332;
france_hiking_foot_routes_line.9601331;9601331;Sentier des Rochers
france_hiking_foot_routes_line.9601283;9601283;
france_hiking_foot_routes_line.9601195;9601195;
france_hiking_foot_routes_line.9601055;9601055;
france_hiking_foot_routes_line.9601044;9601044;
france_hiking_foot_routes_line.9600213;9600213;
france_hiking_foot_routes_line.9600206;9600206;
france_hiking_foot_routes_line.9600179;9600179;
france_hiking_foot_routes_line.9600152;9600152;
france_hiking_foot_routes_line.9600115;9600115;
france_hiking_foot_routes_line.9599115;9599115;La Bastide neuve - Tête ronde - Pas du loup
france_hiking_foot_routes_line.9598803;9598803;Chemin des Venturiers
france_hiking_foot_routes_line.9598740;9598740;Le Voliard
france_hiking_foot_routes_line.9598659;9598659;Circuit des Landes
france_hiking_foot_routes_line.9598658;9598658;Circuit des Ruisseaux
france_hiking_foot_routes_line.9597025;9597025;Tour de Bellevue
france_hiking_foot_routes_line.9594309;9594309;Le Circuit des Moines
france_hiking_foot_routes_line.9594293;9594293;Le Mont-Collet
france_hiking_foot_routes_line.9594251;9594251;Promenade de Royallieu
france_hiking_foot_routes_line.9594211;9594211;
france_hiking_foot_routes_line.9594190;9594190;Sentier du pas de l'Escalette
france_hiking_foot_routes_line.9592060;9592060;Mémoire de pierres et d'eau
france_hiking_foot_routes_line.9592054;9592054;Au fil du calcaire et des vignes
france_hiking_foot_routes_line.9592049;9592049;
france_hiking_foot_routes_line.9591971;9591971;Comtesse Sophie de Nassau
france_hiking_foot_routes_line.9591925;9591925;Boucle de Boulange
france_hiking_foot_routes_line.9591812;9591812;Du Puits du Roi au Vivier Corax
france_hiking_foot_routes_line.9591803;9591803;La Tête Saint-Jean
france_hiking_foot_routes_line.9591726;9591726;Oratoire de Malivert
france_hiking_foot_routes_line.9588565;9588565;La citadelle de Vauvenargues
france_hiking_foot_routes_line.9586358;9586358;Ancienne Route de Villefort aux Vans
france_hiking_foot_routes_line.9586266;9586266;Les Vallons : boucle locale
france_hiking_foot_routes_line.9585332;9585332;Le Grand Orient
france_hiking_foot_routes_line.9584702;9584702;Promenade du Chêne de Saint-Jean
france_hiking_foot_routes_line.9582993;9582993;Circuit jaune de la Corniche
france_hiking_foot_routes_line.9582380;9582380;Circuit du Moulin de la Moltais
france_hiking_foot_routes_line.9582379;9582379;Circuit de la Motte Marcillé
france_hiking_foot_routes_line.9581948;9581948;Chapelle du Moustoir
france_hiking_foot_routes_line.9581831;9581831;
france_hiking_foot_routes_line.9581805;9581805;Rando drosera - Aulne Ster Goanez
france_hiking_foot_routes_line.9581787;9581787;Hent Kozh Steraon
france_hiking_foot_routes_line.9581776;9581776;sentier de l'allée couverte
france_hiking_foot_routes_line.9581727;9581727;Chemin de Trévarez
france_hiking_foot_routes_line.9581236;9581236;Chemin des ardoisières
